         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1302    0.047    0.000   10.691    0.008 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\_read_only.py:44(_get_size)
     1929    0.047    0.000    0.056    0.000 {method '__exit__' of '_io._IOBase' objects}
    82398    0.047    0.000    0.047    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
     2523    0.046    0.000    0.231    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:1475(open)
     1836    0.046    0.000    0.047    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablecolumncontroller.py:75(update)
   142508    0.041    0.000    0.041    0.000 {built-in method builtins.getattr}
     7755    0.040    0.000    0.151    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:737(read)
     1836    0.039    0.000    2.783    0.002 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
     2430    0.039    0.000    0.205    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:26(expand_element)
     1302    0.038    0.000    0.038    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\dimensions.py:294(boundaries)
     4281    0.036    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
    24021    0.036    0.000    0.048    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:142(_nsassign)
     9594    0.035    0.000    0.044    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:343(__init__)
    10540    0.035    0.000    0.069    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
     1434    0.035    0.000    0.035    0.000 {built-in method pyexpat.ParserCreate}
    92978    0.034    0.000    0.034    0.000 {method 'get' of 'dict' objects}
    11402    0.033    0.000    0.054    0.000 {method 'decode' of 'bytes' objects}
    13609    0.033    0.000    0.035    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:3752(_flatten_product)
